Entity,Code,Year,rate over65
Afghanistan,AFG,2002,62.57
Africa,,2002,63.92
Albania,ALB,2002,29.59
Algeria,DZA,2002,54.98
Americas,,2002,53.6
Angola,AGO,2002,73.83
Antigua and Barbuda,ATG,2002,42.39
Argentina,ARG,2002,102.75
Armenia,ARM,2002,31.12
Aruba,ABW,2002,44.11
Australia,AUS,2002,21.76
Austria,AUT,2002,37.09
Azerbaijan,AZE,2002,42.02
Bahamas,BHS,2002,41.17
Bahrain,BHR,2002,60.01
Bangladesh,BGD,2002,74.48
Barbados,BRB,2002,52.58
Belarus,BLR,2002,35.81
Belgium,BEL,2002,33.72
Belize,BLZ,2002,52.91
Benin,BEN,2002,68.69
Bhutan,BTN,2002,60.2
Bolivia,BOL,2002,57.16
Bosnia and Herzegovina,BIH,2002,25.12
Botswana,BWA,2002,43.56
Brazil,BRA,2002,20.75
Brunei,BRN,2002,49.73
Bulgaria,BGR,2002,30.48
Burkina Faso,BFA,2002,69.59
Burundi,BDI,2002,66.41
Cambodia,KHM,2002,57.69
Cameroon,CMR,2002,62.66
Canada,CAN,2002,28.29
Cape Verde,CPV,2002,67.8
Central African Republic,CAF,2002,65.09
Chad,TCD,2002,66.15
Channel Islands,OWID_CIS,2002,39.45
Chile,CHL,2002,81.65
China,CHN,2002,52.91
Colombia,COL,2002,53.09
Comoros,COM,2002,65.39
Congo,COG,2002,67.8
Costa Rica,CRI,2002,49.86
Cote d'Ivoire,CIV,2002,65.85
Croatia,HRV,2002,26.66
Cuba,CUB,2002,59.31
Curacao,CUW,2002,43.43
Cyprus,CYP,2002,32.61
Czechia,CZE,2002,17.71
Democratic Republic of Congo,COD,2002,73.52
Denmark,DNK,2002,34.63
Djibouti,DJI,2002,65.95
Dominican Republic,DOM,2002,53.26
Eastern Mediterranean,,2002,57.14
Ecuador,ECU,2002,52.8
Egypt,EGY,2002,50.93
El Salvador,SLV,2002,50.04
Equatorial Guinea,GNQ,2002,64.7
Eritrea,ERI,2002,65.02
Estonia,EST,2002,24.04
Eswatini,SWZ,2002,42.4
Ethiopia,ETH,2002,64.34
Europe,,2002,30.82
Fiji,FJI,2002,36.57
Finland,FIN,2002,27.74
France,FRA,2002,29.08
French Polynesia,PYF,2002,43.99
Gabon,GAB,2002,73.86
Gambia,GMB,2002,71.58
Georgia,GEO,2002,33
Germany,DEU,2002,12.76
Ghana,GHA,2002,73.39
Greece,GRC,2002,28.83
Grenada,GRD,2002,57.03
Guam,GUM,2002,61.51
Guatemala,GTM,2002,52.66
Guinea,GIN,2002,71.79
Guinea-Bissau,GNB,2002,71.09
Guyana,GUY,2002,59.83
Haiti,HTI,2002,60.48
Honduras,HND,2002,52.41
Hong Kong,HKG,2002,50.04
Hungary,HUN,2002,24.72
Iceland,ISL,2002,28.8
India,IND,2002,68.79
Indonesia,IDN,2002,78.57
Iran,IRN,2002,49.12
Iraq,IRQ,2002,58.23
Ireland,IRL,2002,31.53
Israel,ISR,2002,27.83
Italy,ITA,2002,28.41
Jamaica,JAM,2002,49.98
Japan,JPN,2002,33.48
Jordan,JOR,2002,52.15
Kazakhstan,KAZ,2002,39.28
Kenya,KEN,2002,57.59
Kiribati,KIR,2002,52.71
Kuwait,KWT,2002,69.44
Kyrgyzstan,KGZ,2002,41.89
Laos,LAO,2002,53.96
Latvia,LVA,2002,24.15
Lebanon,LBN,2002,47.89
Lesotho,LSO,2002,48.28
Liberia,LBR,2002,72.57
Libya,LBY,2002,52.11
Lithuania,LTU,2002,27.09
Luxembourg,LUX,2002,36.54
