"Data Source","World Development Indicators",

"Last Updated Date","2022-12-22",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.25242806917637","6.39062697539048","5.9694164857835","6.63566571309151","6.7107343667265","6.52809817311635","6.49318278057711","6.46914388586654","6.2997831768155","6.88158706092106","6.923020029009","6.77423328815606","6.56300263311038","6.56559265262662","6.15198545089006","6.48203006270427","6.39037112423753","6.31742422644412","6.32323608173607","6.27203408921118","","",
"Afghanistan","AFG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9.44338989","8.94125843","9.80847359","9.94828987","10.62276554","9.90467453","10.25649548","9.81848717","8.56967163","8.56190681","7.89717579","8.80594063","9.52887058","10.10534763","11.81856155","12.62081718","14.12674332","13.24220181","","",
"Africa Western and Central","AFW","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.7713018275025","3.77513573588213","3.3893149524076","4.68078445090587","4.48150947156142","4.27698040622801","4.14028006068191","3.90846765977139","3.73159162884534","3.78678887699667","3.51965111457181","3.54747599892903","3.50339394194416","3.61916261695515","3.60654015796955","3.83262516470299","3.81124865729609","3.78962441439322","3.38350079245131","3.36608589300352","","",
"Angola","AGO","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.90859938","4.48351622","3.32946134","3.54797316","3.96720099","2.85219693","2.68553662","2.97438812","3.32290483","3.84260869","2.69510007","2.64560795","2.39574957","2.73282766","2.43412852","2.60579491","2.71314907","2.79150295","2.54010224","2.53335953","","",
"Albania","ALB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.2333703","7.13952398","6.90934134","7.06348991","6.77337217","6.33554173","6.00927734","6.31683397","5.1390624","4.6022253","4.7457962","4.79534149","5.05526543","5.38561106","5.50347328","4.89631176","4.91601658","5.01263571","5.23207188","","","",
"Andorra","AND","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.96051121","5.86593914","6.09839916","5.63991785","5.38125277","5.73988628","5.06450415","5.0283227","5.78568554","6.23957682","6.58006001","6.08633614","6.12628031","6.15502787","6.13150549","6.28353453","6.30526257","6.58945513","6.75162506","6.71158504","","",
"Arab World","ARB","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.00092593233795","4.28449720859128","4.26642912721864","4.14622199066286","3.83106258943756","3.51228133947254","3.4803944241902","3.583433186932","3.40916667003998","4.30417062436937","3.90703088809679","3.91979984222269","3.98496465393293","4.23913476810446","4.56063462480897","5.09567021371246","5.04833457182765","5.30588057109842","5.05045217893515","5.0869551315807","","",
"United Arab Emirates","ARE","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.37413526","2.48437047","2.71770859","2.64634395","2.46204352","2.32019687","2.3254137","2.56569624","2.92847776","4.04999352","3.87874508","3.67007303","3.42520428","3.59299517","3.63020945","3.58359432","3.46601534","4.05959463","4.14545679","4.27504921","","",
"Argentina","ARG","Current health expenditure (% of GDP)","SH.XPD.CHEX.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.2200098","8.37179756","7.3933115","6.89451599","7.22868299","7.61078882","7.64032841","7.83455086","8.18266869","9.45598793","9.44546986","9.41821575","9.82728195","9.78097343","9.67129135","10.22933865","9.00189686","10.44225502","9.66646481","9.5100708","","",
